bytes/method,1024,2048,4096,8192,16384
Direct,1.012176e+06,1.012176e+06,1.012175e+06,1.012175e+06,1.012173e+06
2-Way_FIFO,1.012176e+06,1.012174e+06,1.012174e+06,1.012174e+06,1.012174e+06
2-Way_LRU,9.999990e-01,2.999999e+00,2.999999e+00,2.999999e+00,2.999999e+00
